threads,NUMNODES,average_area,performance
1,100,6.588395,5.984440
1,10000,7.272442,16.755218
1,1000000,7.291631,16.577480
1,100000000,7.292215,16.528204
2,100,6.588395,33.898298
2,10000,7.272442,33.453767
2,1000000,7.291631,32.906185
2,100000000,7.292215,33.032646
4,100,6.588395,40.322593
4,10000,7.272442,64.804614
4,1000000,7.291631,64.084210
4,100000000,7.292215,64.385727
6,100,6.588395,46.511589
6,10000,7.272442,96.655713
6,1000000,7.291631,96.859693
6,100000000,7.292215,96.091213
8,100,6.588395,45.454500
8,10000,7.272442,106.428268
8,1000000,7.291631,129.098340
8,100000000,7.292215,127.684184
10,100,6.588395,43.859693
10,10000,7.272442,121.936350
10,1000000,7.291631,120.251668
10,100000000,7.292215,124.878055
12,100,6.588395,38.759690
12,10000,7.272442,142.918387
12,1000000,7.291631,141.159319
12,100000000,7.292215,143.763039
14,100,6.588395,37.037054
14,10000,7.272442,163.291966
14,1000000,7.291631,164.158462
14,100000000,7.292215,163.335763
16,100,6.588395,33.670008
16,10000,7.272442,185.459950
16,1000000,7.291631,187.592096
16,100000000,7.292215,181.264954
