Local Size,Global Size,Performance
8,1024,0.014943
8,4096,0.059828
8,8192,0.106741
8,32768,0.442281
8,65536,0.828696
8,131072,1.782503
8,262144,1.595546
8,524288,2.233831
8,1048576,2.630644
8,2097152,2.783773
8,3145728,2.914368
8,4194304,2.961908
8,5242880,3.006970
8,6291456,3.005070
8,7340032,2.920006
8,8388608,3.031153
16,1024,0.016776
16,4096,0.054632
16,8192,0.147124
16,32768,0.488421
16,65536,0.922784
16,131072,1.497191
16,262144,2.443762
16,524288,3.702887
16,1048576,4.390192
16,2097152,5.226012
16,3145728,5.412304
16,4194304,5.476340
16,5242880,5.649317
16,6291456,5.741624
16,7340032,5.831770
16,8388608,5.707145
32,1024,0.015179
32,4096,0.060320
32,8192,0.124119
32,32768,0.517037
32,65536,1.017330
32,131072,1.884112
32,262144,3.030066
32,524288,5.644514
32,1048576,7.665701
32,2097152,8.399417
32,3145728,9.676310
32,4194304,10.105166
32,5242880,10.253948
32,6291456,9.944092
32,7340032,10.398768
32,8388608,10.331525
64,1024,0.018847
64,4096,0.061424
64,8192,0.125727
64,32768,0.490518
64,65536,1.113659
64,131072,1.972412
64,262144,3.785301
64,524288,5.654492
64,1048576,8.530837
64,2097152,11.523168
64,3145728,13.188885
64,4194304,13.986551
64,5242880,15.822401
64,6291456,15.727788
64,7340032,15.009740
64,8388608,15.795342
128,1024,0.014714
128,4096,0.057979
128,8192,0.156659
128,32768,0.645502
128,65536,1.129152
128,131072,1.890540
128,262144,3.454062
128,524288,6.610342
128,1048576,12.555338
128,2097152,13.350961
128,3145728,14.150515
128,4194304,16.904198
128,5242880,18.996887
128,6291456,17.994245
128,7340032,19.003951
128,8388608,19.340790
256,1024,0.014632
256,4096,0.069743
256,8192,0.174373
256,32768,0.694780
256,65536,0.984330
256,131072,1.998034
256,262144,3.619279
256,524288,6.788991
256,1048576,9.718936
256,2097152,13.831354
256,3145728,15.506199
256,4194304,16.928216
256,5242880,17.891477
256,6291456,17.907384
256,7340032,17.754153
256,8388608,18.713264
512,1024,0.017267
512,4096,0.078437
512,8192,0.129446
512,32768,0.555177
512,65536,1.129532
512,131072,1.894306
512,262144,3.377835
512,524288,6.041986
512,1048576,9.423570
512,2097152,14.281364
512,3145728,14.923387
512,4194304,15.946123
512,5242880,17.159969
512,6291456,17.619257
512,7340032,18.227841
512,8388608,18.865694
