Local Size,Global Size,Performance
8,1024,0.015918
8,4096,0.052619
8,8192,0.096176
8,32768,0.385578
8,65536,0.852118
8,131072,0.996456
8,262144,0.644953
8,524288,1.117501
8,1048576,1.714220
8,2097152,2.019387
8,3145728,2.229469
8,4194304,2.288341
8,5242880,2.421838
8,6291456,2.445668
8,7340032,2.549982
8,8388608,2.596117
16,1024,0.014517
16,4096,0.050289
16,8192,0.080595
16,32768,0.431123
16,65536,0.870190
16,131072,1.385975
16,262144,0.671068
16,524288,1.397672
16,1048576,2.078549
16,2097152,3.076952
16,3145728,3.849985
16,4194304,3.823106
16,5242880,3.646401
16,6291456,0.542324
16,7340032,4.506311
16,8388608,4.641104
32,1024,0.012684
32,4096,0.048290
32,8192,0.107757
32,32768,0.371912
32,65536,1.457242
32,131072,1.520434
32,262144,0.681945
32,524288,1.554213
32,1048576,2.718692
32,2097152,4.411324
32,3145728,4.646495
32,4194304,5.368273
32,5242880,6.228756
32,6291456,6.340556
32,7340032,7.531996
32,8388608,7.449298
64,1024,0.016164
64,4096,0.061375
64,8192,0.098033
64,32768,0.438167
64,65536,0.746586
64,131072,1.411780
64,262144,0.613263
64,524288,1.732991
64,1048576,2.871029
64,2097152,5.180505
64,3145728,6.499426
64,4194304,7.449298
64,5242880,7.370732
64,6291456,9.331861
64,7340032,9.229769
64,8388608,9.696181
128,1024,0.013643
128,4096,0.048619
128,8192,0.119918
128,32768,0.394917
128,65536,0.993881
128,131072,1.306088
128,262144,0.584409
128,524288,1.432556
128,1048576,4.799396
128,2097152,4.360303
128,3145728,6.642556
128,4194304,6.937046
128,5242880,8.412798
128,6291456,8.310778
128,7340032,9.563836
128,8388608,9.115953
256,1024,0.011727
256,4096,0.048519
256,8192,0.179828
256,32768,0.746001
256,65536,0.830084
256,131072,2.046019
256,262144,0.588074
256,524288,1.577045
256,1048576,3.078021
256,2097152,4.475636
256,3145728,5.440532
256,4194304,6.553598
256,5242880,9.142004
256,6291456,9.233330
256,7340032,9.576131
256,8388608,9.918272
512,1024,0.012880
512,4096,0.065052
512,8192,0.085684
512,32768,0.389522
512,65536,0.805098
512,131072,1.564028
512,262144,0.623904
512,524288,2.692098
512,1048576,2.690605
512,2097152,4.669130
512,3145728,5.859921
512,4194304,7.682046
512,5242880,6.628009
512,6291456,8.330373
512,7340032,9.635135
512,8388608,10.318530
