Local Size,Global Size,Performance
8,1024,0.012114
8,4096,0.064472
8,8192,0.097441
8,32768,0.401511
8,65536,0.534226
8,131072,0.298008
8,262144,0.473856
8,524288,0.718162
8,1048576,0.945324
8,2097152,1.075233
8,3145728,1.138852
8,4194304,1.200997
8,5242880,1.190321
8,6291456,1.229377
8,7340032,1.255664
8,8388608,1.251801
16,1024,0.010454
16,4096,0.039812
16,8192,0.098642
16,32768,0.363426
16,65536,0.665363
16,131072,0.355228
16,262144,0.498745
16,524288,0.880885
16,1048576,1.207797
16,2097152,1.604692
16,3145728,1.732762
16,4194304,1.926562
16,5242880,1.938010
16,6291456,2.029179
16,7340032,2.027590
16,8388608,2.074219
32,1024,0.013567
32,4096,0.055779
32,8192,0.097349
32,32768,0.386289
32,65536,0.766118
32,131072,0.324487
32,262144,0.598791
32,524288,1.062575
32,1048576,1.600654
32,2097152,2.392701
32,3145728,2.535934
32,4194304,3.164947
32,5242880,3.086985
32,6291456,3.244143
32,7340032,3.338894
32,8388608,3.375447
64,1024,0.019384
64,4096,0.048717
64,8192,0.109034
64,32768,0.424092
64,65536,0.789826
64,131072,0.323959
64,262144,0.675826
64,524288,1.128235
64,1048576,1.942707
64,2097152,3.121443
64,3145728,3.681754
64,4194304,3.900575
64,5242880,4.301791
64,6291456,4.572820
64,7340032,4.730692
64,8388608,5.042776
128,1024,0.010948
128,4096,0.047602
128,8192,0.090965
128,32768,0.369146
128,65536,0.766294
128,131072,0.429021
128,262144,0.755319
128,524288,1.497641
128,1048576,2.629274
128,2097152,4.496244
128,3145728,4.208369
128,4194304,5.354697
128,5242880,5.530161
128,6291456,5.690209
128,7340032,7.188992
128,8388608,6.809588
256,1024,0.012053
256,4096,0.061697
256,8192,0.165917
256,32768,0.443000
256,65536,0.865012
256,131072,0.331333
256,262144,0.731545
256,524288,1.268302
256,1048576,2.011329
256,2097152,3.552811
256,3145728,4.346511
256,4194304,5.601527
256,5242880,5.677720
256,6291456,5.932486
256,7340032,6.558557
256,8388608,6.816045
512,1024,0.015854
512,4096,0.047757
512,8192,0.116227
512,32768,0.413554
512,65536,0.660572
512,131072,0.412345
512,262144,0.648318
512,524288,1.191403
512,1048576,1.953982
512,2097152,2.939034
512,3145728,3.790334
512,4194304,4.291509
512,5242880,4.532579
512,6291456,4.643320
512,7340032,5.520629
512,8388608,5.702159
